02.04.10;["Innesto osseo sul cranio, calotta cranica"];Prelievo di innesto osseo
02.05.00;["Inserzione di placca cranica, NAS"]
02.05.10;["Inserzione di placca cranica (impianto CAD) nel neurocranio senza interessamento dello splancnocranio, difetto semplice"]
02.05.11;["Inserzione di placca cranica (impianto CAD) nel neurocranio senza interessamento dello splancnocranio, difetto maggiore o complesso"]
02.05.20;["Inserzione di placca cranica (impianto CAD) nel neurocranio senza interessamento di orbita, regione temporale o seno frontale (fino a 2 regioni)"]
02.05.30;["Inserzione di placca cranica (impianto CAD), Neurocranio con interessamento di più regioni dello splancnocranio (da 3 regioni)"]
02.05.99;["Inserzione di placca cranica, altro"]
02.06;["Altri tipi di osteoplastica del cranio"];Revisione di opercolo osseo del cranio;Riparazione del cranio, NAS
02.06.0;["Dettaglio della sottocategoria 02.06"]
02.06.00;["Altri tipi di osteoplastica del cranio, NAS"]
02.06.10;["Cranioplastica fronto-orbitale per spostamento osseo"]
02.06.20;["Riparazione del neurocranio senza interessamento dello splancnocranio, con impianto semplice (cemento osseo)"]
02.06.30;["Riparazione di neurocranio e splancnocranio o del solo splancnocranio, con impianto semplice (cemento osseo) o innesto"]
02.06.99;["Altri tipi di osteoplastica del cranio (cranioplastica), altro"]
02.07;["Rimozione di placca del cranio"]
02.1;["Riparazione delle meningi cerebrali"]
02.11;["Sutura semplice della dura madre"]
02.12;["Altra riparazione delle meningi cerebrali"];Chiusura di fistola liquorale;Innesto durale;Patch subdurale;Riparazione di encefalocele con cranioplastica simultanea
02.12.0;["Dettaglio della sottocategoria 02.12"]
02.12.00;["Altra riparazione delle meningi cerebrali, NAS"]
02.12.10;["Altra riparazione delle meningi cerebrali senza cranioplastica"]
02.12.20;["Altra riparazione delle meningi cerebrali con cranioplastica"]
02.12.21;["Altra duraplastica con cranioplastica della convessità"]
02.12.22;["Altra duraplastica con cranioplastica del passaggio craniocervicale"]
02.12.99;["Altra riparazione delle meningi cerebrali, altro"]
02.13;["Legatura dei vasi delle meningi"];Legatura del seno longitudinale;Legatura dell'arteria meningea media
02.14;["Plessectomia coroidea"];Cauterizzazione del plesso coroideo
02.2;["Ventricolostomia"];Anastomosi da ventricolo a cisterna magna;Anastomosi da ventricolo a spazio subaracnoideo cervicale;Derivazione ventricolo cisternale;Inserzione di valvola transcranica (Holter)
02.3;["Derivazione ventricolare esterna"];Shunt con inserzione di valvola
02.31;["Shunt fra ventricolo e strutture del capo e del collo"];Anastomosi ventricolomastoidea;Shunt ventricolonasofaringeo
02.32;["Shunt fra ventricolo e sistema circolatorio"];Shunt ventricoloatriale;Shunt ventricolocavale
02.33;["Shunt fra ventricolo e cavità toracica"];Anastomosi ventricolopleurica
02.34;["Shunt fra ventricolo, cavità addominale e i suoi organi"];Shunt ventricolo-peritoneale;Ventricolocolecistostomia
02.35;["Shunt fra ventricolo ed apparato urinario"];Shunt ventricolo-ureterale
02.39;["Altri interventi per il drenaggio ventricolare"];Shunt fra ventricolo e altra sede extracranica, NAC;Shunt fra ventricolo e midollo osseo
02.4;["Revisione, rimozione e irrigazione di shunt ventricolare"]
02.41;["Irrigazione ed esplorazione di shunt ventricolare"];Esplorazione di shunt ventricolo-peritoneale a localizzazione ventricolare;Riprogrammazione di shunt ventricoloperitoneale
02.41.0;["Dettaglio della sottocategoria 02.41"]
02.41.00;["Irrigazione ed esplorazione di shunt ventricolare, NAS"]
02.41.10;["Irrigazione ed esplorazione di shunt ventricolare, parte centrale"]
02.41.20;["Irrigazione ed esplorazione di shunt ventricolare, parte periferica"]
02.41.99;["Irrigazione ed esplorazione di shunt ventricolare, altro"]
02.42;["Sostituzione di shunt ventricolare"];Reinserzione di valvola (Holter);Revisione di shunt ventricolo-peritoneale a localizzazione ventricolare;Sostituzione di catetere ventricolare
02.42.0;["Dettaglio della sottocategoria 02.42"]
02.42.00;["Sostituzione di shunt ventricolare, NAS"]
02.42.10;["Sostituzione di shunt ventricolare, parte centrale"]
02.42.20;["Sostituzione di shunt ventricolare, parte periferica"]
02.42.99;["Sostituzione di shunt ventricolare, altro"]
02.43;["Rimozione di shunt ventricolare"]
02.9;["Altri interventi su cranio, cervello e meningi cerebrali"]
02.91;["Separazione di aderenze corticali"]
02.93.00;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore intracranico, NAS"]
02.93.10;["Inserzione o sostituzione di microelettrodi temporanei per derivazione e stimolazione uniloculare"]
02.93.11;["Inserzione o sostituzione di microelettrodi temporanei per derivazione e stimolazione multiloculare"]
02.93.20;["Inserzione o sostituzione di microelettrodi permanenti per derivazione e stimolazione uniloculare"]
02.93.21;["Inserzione o sostituzione di microelettrodi permanenti per derivazione e stimolazione multiloculare"]
02.93.99;["Inserzione o sostituzione di elettrodo(i) di neurostimolatore intracranico, altro"]
02.94;["Applicazione o sostituzione di trazione transcutanea cranica o dispositivo di halo"]
02.95;["Rimozione di dispositivi di trazione cervicale o halo"]
02.96;["Applicazione di elettrodi sfenoidali"]
02.99;["Altri interventi sul cranio, sul cervello e sulle meningi"];Applicazione di cornice stereotassica (al capo) (93.59)
02.99.0;["Dettaglio della sottocategoria 02.99"]
02.99.00;["Altri interventi sul cranio, sul cervello e sulle meningi, NAS"]
02.99.11;["Impianto o espianto stereotassico di materiale radioattivo quale intervento indipendente"];Radiofarmaco
02.99.12;["Impianto stereotassico di tessuto nel cranio, nel cervello e nelle meningi cerebrali"]
02.99.13;["Instillazione stereotassica di medicamenti quale intervento indipendente"]
02.99.14;["Impianto, revisione o sostituzione stereotassica di cateteri intracerebrali per infusione intraventricolare"]
02.99.20;["Conversione di shunt liquorale (o derivazione di liquido cerebrospinale) in derivazione multipla"]
02.99.29;["Altra revisione e rimozione di derivazioni liquorali"]
02.99.30;["Impianto o sostituzione di sonda di misura intracranica"]
02.99.31;["Revisione (senza sostituzione) di sonda di misura intracranica"]
02.99.50;["Impianto e rimozione di sistema di cateteri a palloncino per brachiterapia intracerebrale"]
02.99.70;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore intracranico, NAS"]
02.99.71;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore intracranico, stereotassica, sistema a elettrodo singolo permanente per la stimolazione permanente"]
02.99.72;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore intracranico, stereotassica, sistema a più elettrodi permanenti per la stimolazione permanente"]
02.99.79;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore intracranico, altro"]
02.99.90;["Altri interventi stereotassici sul cranio, sul cervello e sulle meningi"]
02.99.99;["Altri interventi sul cranio, sul cervello e sulle meningi, altro"]
03;["Interventi sul midollo spinale e sulle strutture del canale vertebrale"];Altra applicazione o somministrazione di gel anti-aderenza (99.77)
03.0;["Esplorazione e decompressione di strutture del canale vertebrale"]
03.01.00;["Rimozione di corpo estraneo dal canale vertebrale, NAS"]
03.01.10;["Rimozione di corpo estraneo dal canale vertebrale, epidurale"]
03.01.99;["Rimozione di corpo estraneo dal canale vertebrale, altro"]
03.02;["Riapertura di pregressa laminectomia"]
03.09.0;["Dettaglio della sottocategoria 03.09"]
03.09.00;["Altra esplorazione e decompressione del canale vertebrale, NAS"]
03.09.10;["Approccio chirurgico alla colonna cervicale, NAS"]
03.09.11;["Approccio chirurgico alla colonna cervicale, anteriore, 1 segmento"]
03.09.12;["Approccio chirurgico alla colonna cervicale, anteriore, 2 segmenti"]
03.09.13;["Approccio chirurgico alla colonna cervicale, anteriore, 3 e più segmenti"]
03.09.14;["Approccio chirurgico alla colonna cervicale (mediante laminotomia o emilaminectomia), posteriore, 1 segmento"]
03.09.15;["Approccio chirurgico alla colonna cervicale (mediante laminotomia o emilaminectomia), posteriore, 2 segmenti"]
03.09.16;["Approccio chirurgico alla colonna cervicale (mediante laminotomia o emilaminectomia), posteriore, 3 e più segmenti"]
03.09.17;["Approccio chirurgico al passaggio craniocervicale"];Approccio transorale, posteriore e laterale
03.09.19;["Approccio chirurgico alla colonna cervicale, altro"];Approccio laterale
03.09.20;["Approccio chirurgico alla colonna toracica, NAS"]
03.09.21;["Approccio chirurgico alla colonna toracica, anteriore, 1 segmento"]
03.09.22;["Approccio chirurgico alla colonna toracica, anteriore, 2 segmenti"]
03.09.23;["Approccio chirurgico alla colonna toracica, anteriore, 3 e più segmenti"]
03.09.24;["Approccio chirurgico alla colonna toracica (mediante laminotomia o emilaminectomia), posteriore, 1 segmento"]
03.09.25;["Approccio chirurgico alla colonna toracica (mediante laminotomia o emilaminectomia), posteriore, 2 segmenti"]
03.09.26;["Approccio chirurgico alla colonna toracica (mediante laminotomia o emilaminectomia), posteriore, 3 e più segmenti"]
03.09.29;["Approccio chirurgico alla colonna toracica, altro"];Approccio transpleurico, retropleurico e dorsolaterale
03.09.3;["Approccio chirurgico alla colonna lombare"]
03.09.30;["Approccio chirurgico alla colonna lombare, NAS"]
03.09.31;["Approccio chirurgico alla colonna lombare, anteriore, 1 segmento"]
03.09.32;["Approccio chirurgico alla colonna lombare, anteriore, 2 segmenti"]
03.09.33;["Approccio chirurgico alla colonna lombare, anteriore, 3 e più segmenti"]
03.09.34;["Approccio chirurgico alla colonna lombare (mediante laminotomia o flavectomia), posteriore, 1 segmento"]
03.09.35;["Approccio chirurgico alla colonna lombare (mediante laminotomia o flavectomia), posteriore, 2 segmenti"]
03.09.36;["Approccio chirurgico alla colonna lombare (mediante laminotomia o flavectomia), posteriore, 3 e più segmenti"]
03.09.37;["Approccio chirurgico alla colonna lombare, Approccio all'osso sacro e al coccige"]
03.09.39;["Approccio chirurgico alla colonna lombare, altro"];Approccio transperitoneale, retroperitoneale, dorsolaterale e transiliaco (Judet)
03.09.40;["Incisione di canale vertebrale, midollo spinale e meningi spinali, NAS"]
03.09.41;["Incisione del canale vertebrale per drenaggio di liquido epidurale"];Incisione del canale vertebrale per drenaggio di empiema epidurale;Incisione del canale vertebrale per drenaggio di empiema epidurale
03.09.44;["Incisione del midollo e delle meningi spinali per drenaggio di ematoma intramidollare"]
03.09.45;["Incisione del midollo e delle meningi spinali per drenaggio di ascesso intramidollare"]
03.09.49;["Incisione di canale vertebrale, midollo spinale e meningi spinali, altro"]
03.09.90;["Altra esplorazione del canale vertebrale"]
03.09.91;["Altra decompressione del canale vertebrale"]
03.09.99;["Altra esplorazione e decompressione del canale vertebrale, altro"]
03.1;["Sezione delle radici dei nervi intraspinali"];Rizotomia
03.21;["Cordotomia percutanea"];Cordotomia stereotassica
03.29;["Altra cordotomia"];Cordotomia, NAS;Sezione delle vie lunghe a livello spinale;Trattotomia del midollo spinale in uno o due stadi
03.3;["Procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale"]
03.31;["Puntura lombare (rachicentesi)"];Puntura lombare per rimozione di mezzo di contrasto
03.32;["Biopsia del midollo spinale e delle meningi spinali"]
03.32.0;["Dettaglio della sottocategoria 03.32"]
03.32.00;["Biopsia del midollo spinale e delle meningi spinali, NAS"]
03.32.10;["Biopsia chiusa [percutanea] [agobiopsia] del midollo spinale e delle meningi spinali"]
03.32.20;["Biopsia a cielo aperto del midollo spinale e delle meningi spinali"]
03.32.99;["Biopsia del midollo spinale e delle meningi spinali, altro"]
03.39;["Altre procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale"]
03.95;["Patch spinale con sangue"]
03.4;["Asportazione o distruzione di lesione del midollo o delle meningi spinali"];Asportazione di midollo o meningi spinali;Curettage;Debridement;Marsupializzazione di cisti di midollo o di meningi
03.4X;["Asportazione o distruzione di lesione del midollo o delle meningi spinali"]
03.4X.0;["Dettaglio della sottocategoria 03.4X"]
03.4X.00;["Asportazione o distruzione di lesione del midollo o delle meningi spinali, NAS"]
03.4X.10;["Asportazione o distruzione di tessuto tumorale del midollo spinale (intramidollare)"]
03.4X.11;["Asportazione o distruzione di tessuto tumorale delle meningi spinali e ossa"]
03.4X.12;["Asportazione o distruzione di tessuto tumorale delle radici e dei gangli spinali"]
03.4X.19;["Asportazione o distruzione di tessuto tumorale del midollo o delle meningi spinali, altro"]
03.4X.20;["Asportazione o distruzione di altra lesione del midollo spinale (intramidollare)"]
03.4X.21;["Asportazione o distruzione di altra lesione delle meningi spinali"]
03.4X.22;["Asportazione o distruzione di altra lesione delle radici e dei gangli spinali"]
03.4X.29;["Asportazione o distruzione di altra lesione del midollo o delle meningi spinali, altro"]
03.4X.99;["Asportazione o distruzione di lesione del midollo o delle meningi spinali, altro"]
03.5;["Interventi di plastica sul midollo spinale e strutture adiacenti"]
03.51;["Riparazione di meningocele spinale"];Riparazione di meningocele, NAS
03.52;["Riparazione di mielomeningocele spinale"]
03.53;["Riparazione di fratture vertebrali"];Elevazione di frammenti ossei affossati;Rimozione di spicule ossee dal canale spinale
03.53.0;["Dettaglio della sottocategoria 03.53"]
03.53.00;["Riduzione di fratture vertebrali, NAS"]
03.53.10;["Riduzione chiusa di frattura vertebrale senza osteosintesi"]
03.53.11;["Riduzione chiusa di frattura vertebrale con fissazione esterna"]
03.53.20;["Riduzione aperta di fratture vertebrali"]
03.53.99;["Riduzione di fratture vertebrali, altro"]
03.59;["Altri interventi di riparazione e di plastica sul midollo spinale e le strutture perimidollari"];Riparazione di difetto dell'arco vertebrale;Riparazione di meningi spinali, NAS;Riparazione di midollo spinale, NAS;Riparazione di spina bifida, NAS
03.59.0;["Dettaglio della sottocategoria 03.59"]
03.59.00;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, NAS"]
03.59.11;["Altri interventi di riparazione o plastica sulle strutture del canale vertebrale, Sezione di filo terminale"]
03.7;["Shunt spinale"];Shunt con valvola
03.72;["Shunt spinale subaracnoideo ureterale"]
